Date,Close,Volume,Open,High,Low
02-09-22,4.6025,103910,4.474,4.643,4.4185
02-08-22,4.461,71019,4.482,4.484,4.395
02-07-22,4.4625,62818,4.4995,4.5195,4.429
02-04-22,4.4875,56144,4.481,4.5145,4.4125
02-03-22,4.471,45281,4.4785,4.502,4.423
02-02-22,4.496,58704,4.4335,4.509,4.43
02-01-22,4.434,56961,4.33,4.4455,4.311
01/31/2022,4.3245,61370,4.3275,4.355,4.282
01/28/2022,4.31,89359,4.4185,4.45,4.2985
01/27/2022,4.4235,68682,4.457,4.491,4.399
01/26/2022,4.515,60836,4.4565,4.5345,4.419
01/25/2022,4.45,53309,4.456,4.478,4.3855
01/24/2022,4.4125,77500,4.522,4.538,4.3865
01/21/2022,4.524,66887,4.5295,4.5805,4.484
01/20/2022,4.5825,70917,4.449,4.586,4.444
01/19/2022,4.47,59021,4.4035,4.4885,4.392
01/18/2022,4.3825,85526,4.431,4.449,4.376
01/14/2022,4.4205,67752,4.5115,4.5475,4.4125
01/13/2022,4.546,60425,4.557,4.577,4.5045
01-12-22,4.5765,103816,4.4315,4.601,4.42
01-11-22,4.429,43898,4.372,4.4385,4.366
01-10-22,4.352,43739,4.4015,4.431,4.3305
01-07-22,4.41,44824,4.354,4.4175,4.3435
01-06-22,4.3545,55043,4.392,4.408,4.3135
01-05-22,4.4135,50594,4.4725,4.473,4.372
01-04-22,4.475,55082,4.4245,4.4785,4.378
01-03-22,4.4215,37466,4.4585,4.4805,4.335
